strain.1,strain.2,p.value
Rep 1,Rep 10,0.05540525473645552
Rep 1,Rep 11,0.6761394331705339
Rep 1,Rep 12,0.2526151459112804
Rep 1,Rep 14,0.15459021790290317
Rep 1,Rep 3,0.4988683308840903
Rep 1,Rep 4,0.32108506719928187
Rep 1,Rep 6,0.2931531251134689
Rep 1,Rep 7,0.06600063732956118
Rep 1,Rep 8,0.253865611741395
Rep 1,Rep 9,0.8850724550468267
Rep 10,Rep 11,0.04338371087547532
Rep 10,Rep 12,0.49186701447017245
Rep 10,Rep 14,0.7953281911621501
Rep 10,Rep 3,0.2601576529077888
Rep 10,Rep 4,0.43786620427855494
Rep 10,Rep 6,0.36810409461438265
Rep 10,Rep 7,0.763869783582577
Rep 10,Rep 8,0.396896691571883
Rep 10,Rep 9,0.09948679784845316
Rep 11,Rep 12,0.18009551533371515
Rep 11,Rep 14,0.11257203773595115
Rep 11,Rep 3,0.3487008319854734
Rep 11,Rep 4,0.2277315806566319
Rep 11,Rep 6,0.20672809377206902
Rep 11,Rep 7,0.05320678353753239
Rep 11,Rep 8,0.18051603228722812
Rep 11,Rep 9,0.6180601572811897
Rep 12,Rep 14,0.7094220720176061
Rep 12,Rep 3,0.6669282029288649
Rep 12,Rep 4,0.9181270908146317
Rep 12,Rep 6,0.8621962242031624
Rep 12,Rep 7,0.6517167340089727
Rep 12,Rep 8,0.909714700719491
Rep 12,Rep 9,0.3526072032551002
Rep 14,Rep 3,0.4425097437578598
Rep 14,Rep 4,0.6454314454059967
Rep 14,Rep 6,0.5838935546967035
Rep 14,Rep 7,0.9957974965388673
Rep 14,Rep 8,0.6195239991894712
Rep 14,Rep 9,0.22092093651677858
Rep 3,Rep 4,0.75203172664477
Rep 3,Rep 6,0.7772255998965067
Rep 3,Rep 7,0.3495692803768303
Rep 3,Rep 8,0.7267614018654267
Rep 3,Rep 9,0.6222206259739784
Rep 4,Rep 6,0.9519714850165727
Rep 4,Rep 7,0.5805380455308091
Rep 4,Rep 8,0.999678007205584
Rep 4,Rep 9,0.425300606127481
Rep 6,Rep 7,0.49779143058261166
Rep 6,Rep 8,0.946767916374645
Rep 6,Rep 9,0.41361123961505064
Rep 7,Rep 8,0.5371324897504347
Rep 7,Rep 9,0.12846323064133902
Rep 8,Rep 9,0.3711246721678493
