"strain","plate","fraction","CFU"
"Rep 1","Count",1e-05,103.666666666667
"Rep 1","Count",1e-05,212.333333333333
"Rep 1","Count",1e-05,200
"Rep 1","Count",1e-05,171.333333333333
"Rep 1","Selective",1,1
"Rep 1","Selective",1,1
"Rep 1","Selective",1,1
"Rep 1","Selective",1,2
"Rep 1","Selective",1,1
"Rep 1","Selective",1,3
"Rep 1","Selective",1,2
"Rep 1","Selective",1,1
"Rep 1","Selective",1,1
"Rep 1","Selective",1,0
"Rep 1","Selective",1,0
"Rep 1","Selective",1,0
"Rep 1","Selective",1,0
"Rep 1","Selective",1,0
"Rep 1","Selective",1,0
"Rep 1","Selective",1,0
"Rep 1","Selective",1,0
"Rep 1","Selective",1,0
"Rep 1","Selective",1,0
"Rep 1","Selective",1,0
"Rep 1","Selective",1,0
"Rep 1","Selective",1,0
"Rep 1","Selective",1,0
"Rep 1","Selective",1,0
"Rep 1","Selective",1,0
"Rep 1","Selective",1,0
"Rep 1","Selective",1,0
"Rep 1","Selective",1,0
"Rep 1","Selective",1,0
"Rep 1","Selective",1,0
"Rep 1","Selective",1,0
"Rep 1","Selective",1,0
"Rep 1","Selective",1,0
"Rep 1","Selective",1,0
"Rep 1","Selective",1,0
"Rep 1","Selective",1,0
"Rep 1","Selective",1,0
"Rep 1","Selective",1,0
"Rep 1","Selective",1,0
"Rep 1","Selective",1,0
"Rep 1","Selective",1,0
"Rep 1","Selective",1,0
"Rep 1","Selective",1,0
"Rep 1","Selective",1,0
"Rep 1","Selective",1,0
"Rep 1","Selective",1,0
"Rep 1","Selective",1,0
"Rep 1","Selective",1,0
"Rep 1","Selective",1,0
"Rep 1","Selective",1,0
"Rep 1","Selective",1,0
"Rep 1","Selective",1,0
"Rep 1","Selective",1,0
"Rep 1","Selective",1,0
"Rep 1","Selective",1,0
"Rep 1","Selective",1,0
"Rep 2","Count",1e-05,113.333333333333
"Rep 2","Count",1e-05,103.333333333333
"Rep 2","Count",1e-05,156.333333333333
"Rep 2","Count",1e-05,164
"Rep 2","Selective",1,2
"Rep 2","Selective",1,3
"Rep 2","Selective",1,2
"Rep 2","Selective",1,3
"Rep 2","Selective",1,5
"Rep 2","Selective",1,7
"Rep 2","Selective",1,4
"Rep 2","Selective",1,1
"Rep 2","Selective",1,1
"Rep 2","Selective",1,10
"Rep 2","Selective",1,3
"Rep 2","Selective",1,4
"Rep 2","Selective",1,1
"Rep 2","Selective",1,4
"Rep 2","Selective",1,2
"Rep 2","Selective",1,8
"Rep 2","Selective",1,1
"Rep 2","Selective",1,0
"Rep 2","Selective",1,0
"Rep 2","Selective",1,0
"Rep 2","Selective",1,0
"Rep 2","Selective",1,0
"Rep 2","Selective",1,0
"Rep 2","Selective",1,0
"Rep 2","Selective",1,0
"Rep 2","Selective",1,0
"Rep 2","Selective",1,0
"Rep 2","Selective",1,0
"Rep 2","Selective",1,0
"Rep 2","Selective",1,0
"Rep 2","Selective",1,0
"Rep 2","Selective",1,0
"Rep 2","Selective",1,0
"Rep 2","Selective",1,0
"Rep 2","Selective",1,0
"Rep 2","Selective",1,0
"Rep 2","Selective",1,0
"Rep 2","Selective",1,0
"Rep 2","Selective",1,0
"Rep 2","Selective",1,0
"Rep 2","Selective",1,0
"Rep 2","Selective",1,0
"Rep 2","Selective",1,0
"Rep 2","Selective",1,0
"Rep 2","Selective",1,0
"Rep 2","Selective",1,0
"Rep 2","Selective",1,0
"Rep 2","Selective",1,0
"Rep 2","Selective",1,0
"Rep 2","Selective",1,0
"Rep 2","Selective",1,0
"Rep 2","Selective",1,0
"Rep 2","Selective",1,0
"Rep 2","Selective",1,0
"Rep 2","Selective",1,0
"Rep 2","Selective",1,0
"Rep 3","Count",1e-05,93.3333333333333
"Rep 3","Count",1e-05,87.6666666666667
"Rep 3","Count",1e-05,96.6666666666667
"Rep 3","Count",1e-05,66.6666666666667
"Rep 3","Selective",1,1
"Rep 3","Selective",1,1
"Rep 3","Selective",1,2
"Rep 3","Selective",1,0
"Rep 3","Selective",1,0
"Rep 3","Selective",1,0
"Rep 3","Selective",1,0
"Rep 3","Selective",1,0
"Rep 3","Selective",1,0
"Rep 3","Selective",1,0
"Rep 3","Selective",1,0
"Rep 3","Selective",1,0
"Rep 3","Selective",1,0
"Rep 3","Selective",1,0
"Rep 3","Selective",1,0
"Rep 3","Selective",1,0
"Rep 3","Selective",1,0
"Rep 3","Selective",1,0
"Rep 3","Selective",1,0
"Rep 3","Selective",1,0
"Rep 3","Selective",1,0
"Rep 3","Selective",1,0
"Rep 3","Selective",1,0
"Rep 3","Selective",1,0
"Rep 3","Selective",1,0
"Rep 3","Selective",1,0
"Rep 3","Selective",1,0
"Rep 3","Selective",1,0
"Rep 3","Selective",1,0
"Rep 3","Selective",1,0
"Rep 3","Selective",1,0
"Rep 3","Selective",1,0
"Rep 3","Selective",1,0
"Rep 3","Selective",1,0
"Rep 3","Selective",1,0
"Rep 3","Selective",1,0
"Rep 3","Selective",1,0
"Rep 3","Selective",1,0
"Rep 3","Selective",1,0
"Rep 3","Selective",1,0
"Rep 3","Selective",1,0
"Rep 3","Selective",1,0
"Rep 3","Selective",1,0
"Rep 3","Selective",1,0
"Rep 3","Selective",1,0
"Rep 3","Selective",1,0
"Rep 3","Selective",1,0
"Rep 3","Selective",1,0
"Rep 3","Selective",1,0
"Rep 3","Selective",1,0
"Rep 3","Selective",1,0
"Rep 3","Selective",1,0
"Rep 3","Selective",1,0
"Rep 3","Selective",1,0
"Rep 3","Selective",1,0
"Rep 3","Selective",1,0
"Rep 4","Count",1e-05,59.3333333333333
"Rep 4","Count",1e-05,68.6666666666667
"Rep 4","Count",1e-05,82.3333333333333
"Rep 4","Count",1e-05,91.3333333333333
"Rep 4","Selective",1,1
"Rep 4","Selective",1,1
"Rep 4","Selective",1,0
"Rep 4","Selective",1,0
"Rep 4","Selective",1,0
"Rep 4","Selective",1,0
"Rep 4","Selective",1,0
"Rep 4","Selective",1,0
"Rep 4","Selective",1,0
"Rep 4","Selective",1,0
"Rep 4","Selective",1,0
"Rep 4","Selective",1,0
"Rep 4","Selective",1,0
"Rep 4","Selective",1,0
"Rep 4","Selective",1,0
"Rep 4","Selective",1,0
"Rep 4","Selective",1,0
"Rep 4","Selective",1,0
"Rep 4","Selective",1,0
"Rep 4","Selective",1,0
"Rep 4","Selective",1,0
"Rep 4","Selective",1,0
"Rep 4","Selective",1,0
"Rep 4","Selective",1,0
"Rep 4","Selective",1,0
"Rep 4","Selective",1,0
"Rep 4","Selective",1,0
"Rep 4","Selective",1,0
"Rep 4","Selective",1,0
"Rep 4","Selective",1,0
"Rep 4","Selective",1,0
"Rep 4","Selective",1,0
"Rep 4","Selective",1,0
"Rep 4","Selective",1,0
"Rep 4","Selective",1,0
"Rep 4","Selective",1,0
"Rep 4","Selective",1,0
"Rep 4","Selective",1,0
"Rep 4","Selective",1,0
"Rep 4","Selective",1,0
"Rep 4","Selective",1,0
"Rep 4","Selective",1,0
"Rep 4","Selective",1,0
"Rep 4","Selective",1,0
"Rep 4","Selective",1,0
"Rep 4","Selective",1,0
"Rep 4","Selective",1,0
"Rep 4","Selective",1,0
"Rep 4","Selective",1,0
"Rep 4","Selective",1,0
"Rep 4","Selective",1,0
"Rep 4","Selective",1,0
"Rep 4","Selective",1,0
"Rep 4","Selective",1,0
"Rep 4","Selective",1,0
"Rep 4","Selective",1,0
"Rep 5","Count",1e-05,74.3333333333333
"Rep 5","Count",1e-05,115.333333333333
"Rep 5","Count",1e-05,100
"Rep 5","Count",1e-05,116
"Rep 5","Selective",1,4
"Rep 5","Selective",1,8
"Rep 5","Selective",1,8
"Rep 5","Selective",1,3
"Rep 5","Selective",1,6
"Rep 5","Selective",1,3
"Rep 5","Selective",1,1
"Rep 5","Selective",1,4
"Rep 5","Selective",1,3
"Rep 5","Selective",1,3
"Rep 5","Selective",1,2
"Rep 5","Selective",1,161
"Rep 5","Selective",1,248
"Rep 5","Selective",1,3
"Rep 5","Selective",1,5
"Rep 5","Selective",1,6
"Rep 5","Selective",1,3
"Rep 5","Selective",1,5
"Rep 5","Selective",1,10
"Rep 5","Selective",1,8
"Rep 5","Selective",1,2
"Rep 5","Selective",1,7
"Rep 5","Selective",1,2
"Rep 5","Selective",1,2
"Rep 5","Selective",1,4
"Rep 5","Selective",1,3
"Rep 5","Selective",1,3
"Rep 5","Selective",1,5
"Rep 5","Selective",1,3
"Rep 5","Selective",1,14
"Rep 5","Selective",1,10
"Rep 5","Selective",1,8
"Rep 5","Selective",1,14
"Rep 5","Selective",1,1
"Rep 5","Selective",1,2
"Rep 5","Selective",1,2
"Rep 5","Selective",1,32
"Rep 5","Selective",1,12
"Rep 5","Selective",1,2
"Rep 5","Selective",1,3
"Rep 5","Selective",1,4
"Rep 5","Selective",1,9
"Rep 5","Selective",1,3
"Rep 5","Selective",1,3
"Rep 5","Selective",1,3
"Rep 5","Selective",1,16
"Rep 5","Selective",1,6
"Rep 5","Selective",1,3
"Rep 5","Selective",1,2
"Rep 5","Selective",1,11
"Rep 5","Selective",1,1
"Rep 5","Selective",1,5
"Rep 5","Selective",1,0
"Rep 5","Selective",1,0
"Rep 5","Selective",1,0
"Rep 5","Selective",1,0
"Rep 6","Count",1e-05,107.333333333333
"Rep 6","Count",1e-05,104
"Rep 6","Count",1e-05,111.666666666667
