"strain","plate","fraction","CFU"
"Pooled","Count",1e-05,103.666666666667
"Pooled","Count",1e-05,212.333333333333
"Pooled","Count",1e-05,200
"Pooled","Count",1e-05,171.333333333333
"Pooled","Selective",1,1
"Pooled","Selective",1,1
"Pooled","Selective",1,1
"Pooled","Selective",1,2
"Pooled","Selective",1,1
"Pooled","Selective",1,3
"Pooled","Selective",1,2
"Pooled","Selective",1,1
"Pooled","Selective",1,1
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Count",1e-05,93.3333333333333
"Pooled","Count",1e-05,87.6666666666667
"Pooled","Count",1e-05,96.6666666666667
"Pooled","Count",1e-05,66.6666666666667
"Pooled","Selective",1,1
"Pooled","Selective",1,1
"Pooled","Selective",1,2
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
