"strain","plate","fraction","CFU"
"Rep 1","Count",1e-05,103.666666666667
"Rep 1","Count",1e-05,212.333333333333
"Rep 1","Count",1e-05,200
"Rep 1","Count",1e-05,171.333333333333
"Rep 1","Selective",1,1
"Rep 1","Selective",1,1
"Rep 1","Selective",1,1
"Rep 1","Selective",1,2
"Rep 1","Selective",1,1
"Rep 1","Selective",1,3
"Rep 1","Selective",1,2
"Rep 1","Selective",1,1
"Rep 1","Selective",1,1
"Rep 1","Selective",1,0
"Rep 1","Selective",1,0
"Rep 1","Selective",1,0
"Rep 1","Selective",1,0
"Rep 1","Selective",1,0
"Rep 1","Selective",1,0
"Rep 1","Selective",1,0
"Rep 1","Selective",1,0
"Rep 1","Selective",1,0
"Rep 1","Selective",1,0
"Rep 1","Selective",1,0
"Rep 1","Selective",1,0
"Rep 1","Selective",1,0
"Rep 1","Selective",1,0
"Rep 1","Selective",1,0
"Rep 1","Selective",1,0
"Rep 1","Selective",1,0
"Rep 1","Selective",1,0
"Rep 1","Selective",1,0
"Rep 1","Selective",1,0
"Rep 1","Selective",1,0
"Rep 1","Selective",1,0
"Rep 1","Selective",1,0
"Rep 1","Selective",1,0
"Rep 1","Selective",1,0
"Rep 1","Selective",1,0
"Rep 1","Selective",1,0
"Rep 1","Selective",1,0
"Rep 1","Selective",1,0
"Rep 1","Selective",1,0
"Rep 1","Selective",1,0
"Rep 1","Selective",1,0
"Rep 1","Selective",1,0
"Rep 1","Selective",1,0
"Rep 1","Selective",1,0
"Rep 1","Selective",1,0
"Rep 1","Selective",1,0
"Rep 1","Selective",1,0
"Rep 1","Selective",1,0
"Rep 1","Selective",1,0
"Rep 1","Selective",1,0
"Rep 1","Selective",1,0
"Rep 1","Selective",1,0
"Rep 1","Selective",1,0
"Rep 1","Selective",1,0
"Rep 1","Selective",1,0
"Rep 1","Selective",1,0
"Rep 3","Count",1e-05,93.3333333333333
"Rep 3","Count",1e-05,87.6666666666667
"Rep 3","Count",1e-05,96.6666666666667
"Rep 3","Count",1e-05,66.6666666666667
"Rep 3","Selective",1,1
"Rep 3","Selective",1,1
"Rep 3","Selective",1,2
"Rep 3","Selective",1,0
"Rep 3","Selective",1,0
"Rep 3","Selective",1,0
"Rep 3","Selective",1,0
"Rep 3","Selective",1,0
"Rep 3","Selective",1,0
"Rep 3","Selective",1,0
"Rep 3","Selective",1,0
"Rep 3","Selective",1,0
"Rep 3","Selective",1,0
"Rep 3","Selective",1,0
"Rep 3","Selective",1,0
"Rep 3","Selective",1,0
"Rep 3","Selective",1,0
"Rep 3","Selective",1,0
"Rep 3","Selective",1,0
"Rep 3","Selective",1,0
"Rep 3","Selective",1,0
"Rep 3","Selective",1,0
"Rep 3","Selective",1,0
"Rep 3","Selective",1,0
"Rep 3","Selective",1,0
"Rep 3","Selective",1,0
"Rep 3","Selective",1,0
"Rep 3","Selective",1,0
"Rep 3","Selective",1,0
"Rep 3","Selective",1,0
"Rep 3","Selective",1,0
"Rep 3","Selective",1,0
"Rep 3","Selective",1,0
"Rep 3","Selective",1,0
"Rep 3","Selective",1,0
"Rep 3","Selective",1,0
"Rep 3","Selective",1,0
"Rep 3","Selective",1,0
"Rep 3","Selective",1,0
"Rep 3","Selective",1,0
"Rep 3","Selective",1,0
"Rep 3","Selective",1,0
"Rep 3","Selective",1,0
"Rep 3","Selective",1,0
"Rep 3","Selective",1,0
"Rep 3","Selective",1,0
"Rep 3","Selective",1,0
"Rep 3","Selective",1,0
"Rep 3","Selective",1,0
"Rep 3","Selective",1,0
"Rep 3","Selective",1,0
"Rep 3","Selective",1,0
"Rep 3","Selective",1,0
"Rep 3","Selective",1,0
"Rep 3","Selective",1,0
"Rep 3","Selective",1,0
"Rep 4","Count",1e-05,59.3333333333333
"Rep 4","Count",1e-05,68.6666666666667
"Rep 4","Count",1e-05,82.3333333333333
"Rep 4","Count",1e-05,91.3333333333333
"Rep 4","Selective",1,1
"Rep 4","Selective",1,1
"Rep 4","Selective",1,0
"Rep 4","Selective",1,0
"Rep 4","Selective",1,0
"Rep 4","Selective",1,0
"Rep 4","Selective",1,0
"Rep 4","Selective",1,0
"Rep 4","Selective",1,0
"Rep 4","Selective",1,0
"Rep 4","Selective",1,0
"Rep 4","Selective",1,0
"Rep 4","Selective",1,0
"Rep 4","Selective",1,0
"Rep 4","Selective",1,0
"Rep 4","Selective",1,0
"Rep 4","Selective",1,0
"Rep 4","Selective",1,0
"Rep 4","Selective",1,0
"Rep 4","Selective",1,0
"Rep 4","Selective",1,0
"Rep 4","Selective",1,0
"Rep 4","Selective",1,0
"Rep 4","Selective",1,0
"Rep 4","Selective",1,0
"Rep 4","Selective",1,0
"Rep 4","Selective",1,0
"Rep 4","Selective",1,0
"Rep 4","Selective",1,0
"Rep 4","Selective",1,0
"Rep 4","Selective",1,0
"Rep 4","Selective",1,0
"Rep 4","Selective",1,0
"Rep 4","Selective",1,0
"Rep 4","Selective",1,0
"Rep 4","Selective",1,0
"Rep 4","Selective",1,0
"Rep 4","Selective",1,0
"Rep 4","Selective",1,0
"Rep 4","Selective",1,0
"Rep 4","Selective",1,0
"Rep 4","Selective",1,0
"Rep 4","Selective",1,0
"Rep 4","Selective",1,0
"Rep 4","Selective",1,0
"Rep 4","Selective",1,0
"Rep 4","Selective",1,0
"Rep 4","Selective",1,0
"Rep 4","Selective",1,0
"Rep 4","Selective",1,0
"Rep 4","Selective",1,0
"Rep 4","Selective",1,0
"Rep 4","Selective",1,0
"Rep 4","Selective",1,0
"Rep 4","Selective",1,0
"Rep 4","Selective",1,0
"Rep 6","Count",1e-05,107.333333333333
"Rep 6","Count",1e-05,104
"Rep 6","Count",1e-05,111.666666666667
"Rep 6","Count",1e-05,105.333333333333
"Rep 6","Selective",1,1
"Rep 6","Selective",1,1
"Rep 6","Selective",1,1
"Rep 6","Selective",1,0
"Rep 6","Selective",1,0
"Rep 6","Selective",1,0
"Rep 6","Selective",1,0
"Rep 6","Selective",1,0
"Rep 6","Selective",1,0
"Rep 6","Selective",1,0
"Rep 6","Selective",1,0
"Rep 6","Selective",1,0
"Rep 6","Selective",1,0
"Rep 6","Selective",1,0
"Rep 6","Selective",1,0
"Rep 6","Selective",1,0
"Rep 6","Selective",1,0
"Rep 6","Selective",1,0
"Rep 6","Selective",1,0
"Rep 6","Selective",1,0
"Rep 6","Selective",1,0
"Rep 6","Selective",1,0
"Rep 6","Selective",1,0
"Rep 6","Selective",1,0
"Rep 6","Selective",1,0
"Rep 6","Selective",1,0
"Rep 6","Selective",1,0
"Rep 6","Selective",1,0
"Rep 6","Selective",1,0
"Rep 6","Selective",1,0
"Rep 6","Selective",1,0
"Rep 6","Selective",1,0
"Rep 6","Selective",1,0
"Rep 6","Selective",1,0
"Rep 6","Selective",1,0
"Rep 6","Selective",1,0
"Rep 6","Selective",1,0
"Rep 6","Selective",1,0
"Rep 6","Selective",1,0
"Rep 6","Selective",1,0
"Rep 6","Selective",1,0
"Rep 6","Selective",1,0
"Rep 6","Selective",1,0
"Rep 6","Selective",1,0
"Rep 6","Selective",1,0
"Rep 6","Selective",1,0
"Rep 6","Selective",1,0
"Rep 6","Selective",1,0
"Rep 6","Selective",1,0
"Rep 6","Selective",1,0
"Rep 6","Selective",1,0
"Rep 6","Selective",1,0
"Rep 6","Selective",1,0
"Rep 6","Selective",1,0
"Rep 6","Selective",1,0
"Rep 6","Selective",1,0
"Rep 7","Count",1e-05,111
"Rep 7","Count",1e-05,146.333333333333
"Rep 7","Count",1e-05,135.333333333333
"Rep 7","Count",1e-05,140.333333333333
"Rep 7","Selective",1,1
"Rep 7","Selective",1,2
"Rep 7","Selective",1,0
"Rep 7","Selective",1,0
"Rep 7","Selective",1,0
"Rep 7","Selective",1,0
"Rep 7","Selective",1,0
"Rep 7","Selective",1,0
"Rep 7","Selective",1,0
"Rep 7","Selective",1,0
"Rep 7","Selective",1,0
"Rep 7","Selective",1,0
"Rep 7","Selective",1,0
"Rep 7","Selective",1,0
"Rep 7","Selective",1,0
"Rep 7","Selective",1,0
"Rep 7","Selective",1,0
"Rep 7","Selective",1,0
"Rep 7","Selective",1,0
"Rep 7","Selective",1,0
"Rep 7","Selective",1,0
"Rep 7","Selective",1,0
"Rep 7","Selective",1,0
"Rep 7","Selective",1,0
"Rep 7","Selective",1,0
"Rep 7","Selective",1,0
"Rep 7","Selective",1,0
"Rep 7","Selective",1,0
"Rep 7","Selective",1,0
"Rep 7","Selective",1,0
"Rep 7","Selective",1,0
"Rep 7","Selective",1,0
"Rep 7","Selective",1,0
"Rep 7","Selective",1,0
"Rep 7","Selective",1,0
"Rep 7","Selective",1,0
"Rep 7","Selective",1,0
"Rep 7","Selective",1,0
"Rep 7","Selective",1,0
"Rep 7","Selective",1,0
"Rep 7","Selective",1,0
"Rep 7","Selective",1,0
"Rep 7","Selective",1,0
"Rep 7","Selective",1,0
"Rep 7","Selective",1,0
"Rep 7","Selective",1,0
"Rep 7","Selective",1,0
"Rep 7","Selective",1,0
"Rep 7","Selective",1,0
"Rep 7","Selective",1,0
"Rep 7","Selective",1,0
"Rep 7","Selective",1,0
"Rep 7","Selective",1,0
"Rep 7","Selective",1,0
"Rep 7","Selective",1,0
"Rep 7","Selective",1,0
"Rep 8","Count",1e-05,103.666666666667
"Rep 8","Count",1e-05,109.333333333333
