"strain","plate","fraction","CFU"
"Pooled","Count",1e-05,114.666666666667
"Pooled","Count",1e-05,82.6666666666667
"Pooled","Count",1e-05,173.333333333333
"Pooled","Selective",1,4
"Pooled","Selective",1,28
"Pooled","Selective",1,1
"Pooled","Selective",1,1
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Count",1e-05,138.666666666667
"Pooled","Count",1e-05,133.333333333333
"Pooled","Count",1e-05,120.333333333333
"Pooled","Selective",1,10
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Count",1e-05,160.333333333333
"Pooled","Count",1e-05,166
"Pooled","Count",1e-05,145.333333333333
"Pooled","Selective",1,1
"Pooled","Selective",1,1
"Pooled","Selective",1,45
"Pooled","Selective",1,1
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Count",1e-05,94.3333333333333
"Pooled","Count",1e-05,88
"Pooled","Count",1e-05,85
"Pooled","Selective",1,5
"Pooled","Selective",1,1
"Pooled","Selective",1,4
"Pooled","Selective",1,1
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Count",1e-05,186.666666666667
"Pooled","Count",1e-05,197.333333333333
"Pooled","Selective",1,1
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Count",1e-05,175
"Pooled","Count",1e-05,267.333333333333
"Pooled","Count",1e-05,204.666666666667
"Pooled","Selective",1,1
"Pooled","Selective",1,2
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
"Pooled","Selective",1,0
