"strain","plate","fraction","CFU"
"Rep 12","Count",1e-05,114.666666666667
"Rep 12","Count",1e-05,82.6666666666667
"Rep 12","Count",1e-05,173.333333333333
"Rep 12","Selective",1,4
"Rep 12","Selective",1,28
"Rep 12","Selective",1,1
"Rep 12","Selective",1,1
"Rep 12","Selective",1,0
"Rep 12","Selective",1,0
"Rep 12","Selective",1,0
"Rep 12","Selective",1,0
"Rep 12","Selective",1,0
"Rep 12","Selective",1,0
"Rep 12","Selective",1,0
"Rep 12","Selective",1,0
"Rep 12","Selective",1,0
"Rep 12","Selective",1,0
"Rep 12","Selective",1,0
"Rep 12","Selective",1,0
"Rep 12","Selective",1,0
"Rep 12","Selective",1,0
"Rep 12","Selective",1,0
"Rep 12","Selective",1,0
"Rep 12","Selective",1,0
"Rep 12","Selective",1,0
"Rep 12","Selective",1,0
"Rep 12","Selective",1,0
"Rep 12","Selective",1,0
"Rep 12","Selective",1,0
"Rep 12","Selective",1,0
"Rep 12","Selective",1,0
"Rep 12","Selective",1,0
"Rep 12","Selective",1,0
"Rep 12","Selective",1,0
"Rep 12","Selective",1,0
"Rep 12","Selective",1,0
"Rep 12","Selective",1,0
"Rep 12","Selective",1,0
"Rep 12","Selective",1,0
"Rep 12","Selective",1,0
"Rep 12","Selective",1,0
"Rep 12","Selective",1,0
"Rep 12","Selective",1,0
"Rep 12","Selective",1,0
"Rep 12","Selective",1,0
"Rep 12","Selective",1,0
"Rep 12","Selective",1,0
"Rep 12","Selective",1,0
"Rep 12","Selective",1,0
"Rep 12","Selective",1,0
"Rep 12","Selective",1,0
"Rep 12","Selective",1,0
"Rep 12","Selective",1,0
"Rep 12","Selective",1,0
"Rep 12","Selective",1,0
"Rep 12","Selective",1,0
"Rep 12","Selective",1,0
"Rep 12","Selective",1,0
"Rep 12","Selective",1,0
"Rep 12","Selective",1,0
"Rep 13","Count",1e-05,138.666666666667
"Rep 13","Count",1e-05,133.333333333333
"Rep 13","Count",1e-05,120.333333333333
"Rep 13","Selective",1,10
"Rep 13","Selective",1,0
"Rep 13","Selective",1,0
"Rep 13","Selective",1,0
"Rep 13","Selective",1,0
"Rep 13","Selective",1,0
"Rep 13","Selective",1,0
"Rep 13","Selective",1,0
"Rep 13","Selective",1,0
"Rep 13","Selective",1,0
"Rep 13","Selective",1,0
"Rep 13","Selective",1,0
"Rep 13","Selective",1,0
"Rep 13","Selective",1,0
"Rep 13","Selective",1,0
"Rep 13","Selective",1,0
"Rep 13","Selective",1,0
"Rep 13","Selective",1,0
"Rep 13","Selective",1,0
"Rep 13","Selective",1,0
"Rep 13","Selective",1,0
"Rep 13","Selective",1,0
"Rep 13","Selective",1,0
"Rep 13","Selective",1,0
"Rep 13","Selective",1,0
"Rep 13","Selective",1,0
"Rep 13","Selective",1,0
"Rep 13","Selective",1,0
"Rep 13","Selective",1,0
"Rep 13","Selective",1,0
"Rep 13","Selective",1,0
"Rep 13","Selective",1,0
"Rep 13","Selective",1,0
"Rep 13","Selective",1,0
"Rep 13","Selective",1,0
"Rep 13","Selective",1,0
"Rep 13","Selective",1,0
"Rep 13","Selective",1,0
"Rep 13","Selective",1,0
"Rep 13","Selective",1,0
"Rep 13","Selective",1,0
"Rep 13","Selective",1,0
"Rep 13","Selective",1,0
"Rep 13","Selective",1,0
"Rep 13","Selective",1,0
"Rep 13","Selective",1,0
"Rep 13","Selective",1,0
"Rep 13","Selective",1,0
"Rep 13","Selective",1,0
"Rep 13","Selective",1,0
"Rep 13","Selective",1,0
"Rep 13","Selective",1,0
"Rep 13","Selective",1,0
"Rep 13","Selective",1,0
"Rep 13","Selective",1,0
"Rep 13","Selective",1,0
"Rep 13","Selective",1,0
"Rep 14","Count",1e-05,160.333333333333
"Rep 14","Count",1e-05,166
"Rep 14","Count",1e-05,145.333333333333
"Rep 14","Selective",1,1
"Rep 14","Selective",1,1
"Rep 14","Selective",1,45
"Rep 14","Selective",1,1
"Rep 14","Selective",1,0
"Rep 14","Selective",1,0
"Rep 14","Selective",1,0
"Rep 14","Selective",1,0
"Rep 14","Selective",1,0
"Rep 14","Selective",1,0
"Rep 14","Selective",1,0
"Rep 14","Selective",1,0
"Rep 14","Selective",1,0
"Rep 14","Selective",1,0
"Rep 14","Selective",1,0
