"strain","plate","fraction","CFU"
"Rep 1","Count",1e-05,272
"Rep 1","Count",1e-05,187
"Rep 1","Count",1e-05,80
"Rep 1","Count",1e-05,86
"Rep 1","Count",1e-05,57
"Rep 1","Count",1e-05,222
"Rep 1","Count",1e-05,196
"Rep 1","Count",1e-05,153
"Rep 1","Count",1e-05,256
"Rep 1","Count",1e-05,191
"Rep 1","Count",1e-05,216
"Rep 1","Count",1e-05,127
"Rep 1","Count",1e-05,136
"Rep 1","Count",1e-05,81
"Rep 1","Count",1e-05,113
"Rep 1","Count",1e-05,69
"Rep 1","Selective ",1,31
"Rep 1","Selective ",1,28
"Rep 1","Selective ",1,2
"Rep 1","Selective ",1,9
"Rep 1","Selective ",1,4
"Rep 1","Selective ",1,12
"Rep 1","Selective ",1,9
"Rep 1","Selective ",1,7
"Rep 1","Selective ",1,6
"Rep 1","Selective ",1,8
"Rep 1","Selective ",1,16
"Rep 1","Selective ",1,25
"Rep 1","Selective ",1,18
"Rep 1","Selective ",1,6
"Rep 1","Selective ",1,297
"Rep 1","Selective ",1,18
"Rep 1","Selective ",1,20
"Rep 1","Selective ",1,27
"Rep 1","Selective ",1,19
"Rep 1","Selective ",1,17
"Rep 1","Selective ",1,14
"Rep 1","Selective ",1,20
"Rep 1","Selective ",1,51
"Rep 1","Selective ",1,60
"Rep 1","Selective ",1,18
"Rep 1","Selective ",1,9
"Rep 1","Selective ",1,7
"Rep 1","Selective ",1,19
"Rep 1","Selective ",1,1
"Rep 1","Selective ",1,9
"Rep 1","Selective ",1,6
"Rep 1","Selective ",1,30
"Rep 1","Selective ",1,7
"Rep 1","Selective ",1,37
"Rep 1","Selective ",1,224
"Rep 1","Selective ",1,14
"Rep 1","Selective ",1,147
"Rep 1","Selective ",1,5
"Rep 1","Selective ",1,6
"Rep 1","Selective ",1,171
"Rep 1","Selective ",1,62
"Rep 1","Selective ",1,26
"Rep 1","Selective ",1,33
"Rep 1","Selective ",1,15
"Rep 1","Selective ",1,8
"Rep 1","Selective ",1,22
"Rep 1","Selective ",1,43
"Rep 1","Selective ",1,19
"Rep 1","Selective ",1,40
"Rep 1","Selective ",1,242
"Rep 1","Selective ",1,37
"Rep 1","Selective ",1,29
"Rep 1","Selective ",1,42
"Rep 1","Selective ",1,28
"Rep 1","Selective ",1,52
"Rep 1","Selective ",1,19
"Rep 2","Count",1e-05,90
"Rep 2","Count",1e-05,141
"Rep 2","Count",1e-05,100
"Rep 2","Count",1e-05,221
"Rep 2","Count",1e-05,173
"Rep 2","Count",1e-05,34
"Rep 2","Count",1e-05,157
"Rep 2","Count",1e-05,232
"Rep 2","Count",1e-05,93
"Rep 2","Count",1e-05,197
"Rep 2","Count",1e-05,29
"Rep 2","Count",1e-05,147
