"strain","plate","fraction","CFU"
"Combined","Count",1e-05,272
"Combined","Count",1e-05,187
"Combined","Count",1e-05,80
"Combined","Count",1e-05,86
"Combined","Count",1e-05,57
"Combined","Count",1e-05,222
"Combined","Count",1e-05,196
"Combined","Count",1e-05,153
"Combined","Count",1e-05,256
"Combined","Count",1e-05,191
"Combined","Count",1e-05,216
"Combined","Count",1e-05,127
"Combined","Count",1e-05,136
"Combined","Count",1e-05,81
"Combined","Count",1e-05,113
"Combined","Count",1e-05,69
"Combined","Selective ",1,31
"Combined","Selective ",1,28
"Combined","Selective ",1,2
"Combined","Selective ",1,9
"Combined","Selective ",1,4
"Combined","Selective ",1,12
"Combined","Selective ",1,9
"Combined","Selective ",1,7
"Combined","Selective ",1,6
"Combined","Selective ",1,8
"Combined","Selective ",1,16
"Combined","Selective ",1,25
"Combined","Selective ",1,18
"Combined","Selective ",1,6
"Combined","Selective ",1,297
"Combined","Selective ",1,18
"Combined","Selective ",1,20
"Combined","Selective ",1,27
"Combined","Selective ",1,19
"Combined","Selective ",1,17
"Combined","Selective ",1,14
"Combined","Selective ",1,20
"Combined","Selective ",1,51
"Combined","Selective ",1,60
"Combined","Selective ",1,18
"Combined","Selective ",1,9
"Combined","Selective ",1,7
"Combined","Selective ",1,19
"Combined","Selective ",1,1
"Combined","Selective ",1,9
"Combined","Selective ",1,6
"Combined","Selective ",1,30
"Combined","Selective ",1,7
"Combined","Selective ",1,37
"Combined","Selective ",1,224
"Combined","Selective ",1,14
"Combined","Selective ",1,147
"Combined","Selective ",1,5
"Combined","Selective ",1,6
"Combined","Selective ",1,171
"Combined","Selective ",1,62
"Combined","Selective ",1,26
"Combined","Selective ",1,33
"Combined","Selective ",1,15
"Combined","Selective ",1,8
"Combined","Selective ",1,22
"Combined","Selective ",1,43
"Combined","Selective ",1,19
"Combined","Selective ",1,40
"Combined","Selective ",1,242
"Combined","Selective ",1,37
"Combined","Selective ",1,29
"Combined","Selective ",1,42
"Combined","Selective ",1,28
"Combined","Selective ",1,52
"Combined","Selective ",1,19
"Combined","Count",1e-05,90
"Combined","Count",1e-05,141
"Combined","Count",1e-05,100
"Combined","Count",1e-05,221
"Combined","Count",1e-05,173
"Combined","Count",1e-05,34
"Combined","Count",1e-05,157
"Combined","Count",1e-05,232
"Combined","Count",1e-05,93
"Combined","Count",1e-05,197
"Combined","Count",1e-05,29
"Combined","Count",1e-05,147
"Combined","Count",1e-05,103
"Combined","Count",1e-05,114
"Combined","Count",1e-05,157
"Combined","Count",1e-05,36
"Combined","Selective ",1,1
"Combined","Selective ",1,5
"Combined","Selective ",1,25
"Combined","Selective ",1,6
"Combined","Selective ",1,17
"Combined","Selective ",1,11
"Combined","Selective ",1,10
"Combined","Selective ",1,14
"Combined","Selective ",1,9
"Combined","Selective ",1,13
"Combined","Selective ",1,8
"Combined","Selective ",1,20
"Combined","Selective ",1,19
"Combined","Selective ",1,1
"Combined","Selective ",1,4
"Combined","Selective ",1,39
"Combined","Selective ",1,27
"Combined","Selective ",1,37
"Combined","Selective ",1,4
"Combined","Selective ",1,12
"Combined","Selective ",1,54
"Combined","Selective ",1,4
"Combined","Selective ",1,13
"Combined","Selective ",1,7
"Combined","Selective ",1,4
"Combined","Selective ",1,12
"Combined","Selective ",1,23
"Combined","Selective ",1,7
"Combined","Selective ",1,4
"Combined","Selective ",1,11
"Combined","Selective ",1,7
"Combined","Selective ",1,11
"Combined","Selective ",1,19
"Combined","Selective ",1,10
"Combined","Selective ",1,4
"Combined","Selective ",1,9
"Combined","Selective ",1,3
"Combined","Selective ",1,19
"Combined","Selective ",1,18
"Combined","Selective ",1,48
"Combined","Selective ",1,5
"Combined","Selective ",1,11
"Combined","Selective ",1,16
"Combined","Selective ",1,11
"Combined","Selective ",1,6
"Combined","Selective ",1,30
"Combined","Selective ",1,3
"Combined","Selective ",1,1
"Combined","Selective ",1,0
"Combined","Selective ",1,9
"Combined","Selective ",1,20
"Combined","Count",1e-05,47
"Combined","Count",1e-05,145
"Combined","Count",1e-05,179
"Combined","Count",1e-05,74
"Combined","Count",1e-05,108
"Combined","Count",1e-05,207
"Combined","Count",1e-05,102
"Combined","Count",1e-05,83
"Combined","Count",1e-05,116
"Combined","Count",1e-05,64
"Combined","Count",1e-05,39
"Combined","Count",1e-05,38
"Combined","Count",1e-05,51
"Combined","Count",1e-05,61
"Combined","Count",1e-05,56
"Combined","Count",1e-05,166
"Combined","Selective ",1,7
"Combined","Selective ",1,5
"Combined","Selective ",1,7
"Combined","Selective ",1,7
"Combined","Selective ",1,144
"Combined","Selective ",1,10
"Combined","Selective ",1,4
"Combined","Selective ",1,7
"Combined","Selective ",1,2
"Combined","Selective ",1,9
"Combined","Selective ",1,8
"Combined","Selective ",1,7
"Combined","Selective ",1,3
"Combined","Selective ",1,2
"Combined","Selective ",1,61
"Combined","Selective ",1,59
"Combined","Selective ",1,9
"Combined","Selective ",1,10
"Combined","Selective ",1,11
"Combined","Selective ",1,3
"Combined","Selective ",1,21
"Combined","Selective ",1,27
"Combined","Selective ",1,31
"Combined","Selective ",1,22
"Combined","Selective ",1,3
"Combined","Selective ",1,2
"Combined","Selective ",1,29
"Combined","Selective ",1,34
"Combined","Selective ",1,20
"Combined","Selective ",1,6
"Combined","Selective ",1,43
"Combined","Selective ",1,7
"Combined","Selective ",1,25
"Combined","Selective ",1,4
"Combined","Selective ",1,5
"Combined","Selective ",1,75
"Combined","Selective ",1,21
"Combined","Selective ",1,8
"Combined","Selective ",1,9
"Combined","Selective ",1,7
"Combined","Selective ",1,5
"Combined","Selective ",1,8
"Combined","Selective ",1,7
"Combined","Selective ",1,2
"Combined","Selective ",1,3
